job_title,company_name,location,City,State,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry,Min_Salary,Max_Salary
AI/ML Engineer,Ikigai,"San Mateo, CA",San Mateo,CA,1 month ago,,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development,80000,120000
AI/ML Engineer,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,5 months ago,,"$160,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,160000,200000
Junior Data Analyst - (Entry Level),SynergisticIT,"San Francisco, CA",San Francisco,CA,1 month ago,95 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,70000,100000
Product Data Analyst,Inkitt,"San Francisco, CA",San Francisco,CA,2 months ago,193 applicants,"$63,000.00/yr - $289,000.00/yr",Not Applicable,Full-time,Information Technology,Entertainment Providers,63000,289000
Data Analyst (ENTRY LEVEL),SynergisticIT,"San Francisco, CA",San Francisco,CA,2 months ago,89 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,70000,100000
Junior Data Scientist - Remote,SynergisticIT,"San Francisco, CA",San Francisco,CA,2 months ago,27 applicants,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,80000,100000
Data Analyst - Junior,SynergisticIT,"Berkeley, CA",Berkeley,CA,3 months ago,61 applicants,"$110,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,110000,120000
Artificial Intelligence Research Scientist (Gen AI - Multimodal Learning),Eluvio,"Berkeley, CA",Berkeley,CA,6 months ago,,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Other,Non-profit Organizations and Primary and Secondary Education,90000,130000
Stay-at-home Parent - AI Side Hustles,"Fud, Inc.","Oakland, CA",Oakland,CA,7 months ago,88 applicants,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,General Business,Non-profit Organizations and Primary and Secondary Education,90000,130000
AI Software Engineer,JARS AI,"San Francisco, CA",San Francisco,CA,1 week ago,,"$140,000.00/yr - $170,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Entertainment Providers,140000,170000
Jr. Data Analyst (Remote),SynergisticIT,"San Francisco, CA",San Francisco,CA,1 month ago,65 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,70000,100000
Director of AI,Inkitt,"San Francisco, CA",San Francisco,CA,1 month ago,44 applicants,"$188,000.00/yr - $320,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Entertainment Providers,188000,320000
Gen AI Engineer (Data Analyst- San Francisco) - Onsite,ATD Technology LLC full-service Staffing & Recruiting Agency,"San Francisco, CA",San Francisco,CA,1 month ago,80 applicants,"$110,000.00/yr - $140,000.00/yr",Associate,Contract,Engineering and Information Technology,IT Services and IT Consulting,110000,140000
"Research Scientist, Gen AI/ML, Computational Photography",Google,"Mountain View, CA",Mountain View,CA,1 week ago,38 applicants,"$161,000.00/yr - $239,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",161000,239000
Entry/Junior Data Analyst - Remote,SynergisticIT,"San Jose, CA",San Jose,CA,1 week ago,135 applicants,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,80000,110000
Entry Level Python Developer (Remote),SynergisticIT,"San Jose, CA",San Jose,CA,,55 applicants,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,80000,110000
Data Analyst - Entry Level,SynergisticIT,"Santa Clara, CA",Santa Clara,CA,1 week ago,59 applicants,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,80000,110000
Jr. Data Analyst (Remote),SynergisticIT,"Mountain View, CA",Mountain View,CA,2 months ago,80 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,70000,100000
Junior Data Scientist/Engineer,SynergisticIT,"San Jose, CA",San Jose,CA,1 week ago,51 applicants,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Biotechnology Research, IT Services and IT Consulting, and Civil Engineering",155000,175000
Data Scientist,SMARTWORK IT SERVICES LLC (SWITS),"Santa Clara, CA",Santa Clara,CA,1 month ago,157 applicants,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,155000,175000
Junior Data Scientist/Analyst (Remote),SynergisticIT,"San Jose, CA",San Jose,CA,1 month ago,80 applicants,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,80000,100000
"Data Scientist, Gen AI",Meta,"Menlo Park, CA",Menlo Park,CA,3 days ago,156 applicants,"$206,000.00/yr - $281,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",206000,281000
Entry/Junior Level Data Scientist/Python Programmer,SynergisticIT,"San Jose, CA",San Jose,CA,2 months ago,31 applicants,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,80000,100000
Remote Data Scientist - Junior/Entry,SynergisticIT,"San Jose, CA",San Jose,CA,4 months ago,,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,80000,100000
Head of Growth,Contextual AI,"Mountain View, CA",Mountain View,CA,6 days ago,57 applicants,"$150,000.00/yr - $250,000.00/yr",Director,Full-time,Marketing and Sales,"Technology, Information and Internet",150000,250000
Entry Level Business/Data Analyst,SynergisticIT,"San Mateo, CA",San Mateo,CA,3 months ago,146 applicants,"$90,000.00/yr - $135,000.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,90000,135000
Data Analyst/Engineer - Entry/Junior,SynergisticIT,"Palo Alto, CA",Palo Alto,CA,1 week ago,89 applicants,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering,130000,160000
entry level Java full stack developer with devops/Entry level data scientist with python,SynergisticIT,"Los Angeles, CA",Los Angeles,CA,3 days ago,83 applicants,"$81,000.00/yr - $128,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Media and IT Services and IT Consulting",81000,128000
Junior/Entry Data Analyst,SynergisticIT,"Long Beach, CA",Long Beach,CA,3 months ago,95 applicants,"$110,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,110000,120000
Associate Creative Director - Art,IW Group Inc.,"Los Angeles, CA",Los Angeles,CA,3 days ago,122 applicants,"$110,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,Art/Creative,Advertising Services,110000,120000
"AWS Architect with Java, Spring Boot exp",SPAR Information Systems LLC,"Los Angeles, CA",Los Angeles,CA,1 month ago,27 applicants,"$120,000.00/yr - $160,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,Information Technology & Services,120000,160000
AI / ML Engineer,SynergisticIT,"Santa Monica, CA",Santa Monica,CA,3 weeks ago,27 applicants,"$70,000.00/yr - $90,000.00/yr",Entry level,Contract,Engineering,IT Services and IT Consulting,70000,90000
"Software Engineer, Gen AI/ML, Computational Photography",Google,"Los Angeles, CA",Los Angeles,CA,1 week ago,40 applicants,"$160,000.00/yr - $239,000.00/yr",Mid-Senior level,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",160000,239000
"Director, Data Science",Red Bull,"Santa Monica, CA",Santa Monica,CA,2 weeks ago,132 applicants,"$155,000.00/yr - $175,000.00/yr",Director,Full-time,Other,Food and Beverage Services,155000,175000
Data Analyst (Remote),SynergisticIT,"Los Angeles, CA",Los Angeles,CA,1 month ago,73 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,70000,100000
Junior Data Scientist (Remote),SynergisticIT,"Los Angeles, CA",Los Angeles,CA,1 month ago,93 applicants,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,80000,100000
"Entry Level Data Analyst, application via RippleMatch",RippleMatch,"Los Angeles, CA",Los Angeles,CA,3 weeks ago,,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet",80000,110000
Google Cloud Director AI,Slalom,"Los Angeles, CA",Los Angeles,CA,1 week ago,,"$140,000.00/yr - $307,000.00/yr",Director,Full-time,Engineering and Information Technology,Business Consulting and Services,140000,307000
"Market Research Analyst, application via RippleMatch",RippleMatch,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,,"$102,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Marketing and Sales,"Technology, Information and Internet",102000,150000
Entry Level Data Analyst,SynergisticIT,"Los Angeles, CA",Los Angeles,CA,1 month ago,110 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,70000,100000
"Software Engineer, Gen AI/ML, Computational Photography",Google,"Los Angeles, CA",Los Angeles,CA,1 week ago,40 applicants,"$161,000.00/yr - $239,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",161000,239000
Junior Data Scientist (Remote),SynergisticIT,"Sacramento, CA",Sacramento,CA,3 months ago,,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,80000,100000
Software Developer - Junior,SynergisticIT,"Elk Grove, CA",Elk Grove,CA,2 months ago,39 applicants,"$70,000.00/yr - $90,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,70000,90000
Advanced AI Research Scientist Associate Manager,Accenture,"Sacramento, CA",Sacramento,CA,1 month ago,,"$73,000.00/yr - $220,400.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services,73000,220400
Automation Maintenance Manager,Symbotic,"Woodland, CA",Woodland,CA,1 day ago,,"$160,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Management and Manufacturing,"Automation Machinery Manufacturing, Software Development, and Industrial Automation",160000,200000
