job_title,company_name,location,City,State,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry,Min_Salary,Max_Salary
Research Analyst,Dechert LLP,San Francisco Bay Area,San Francisco Bay Area,CA,2 days ago,53 applicants,"$96,500.00/yr - $120,500.00/yr",Associate,Full-time,"Research, Information Technology, and Legal",Law Practice,96500,120500
"Quantitative User Experience Researcher, Early Career 2024",Google,"Sunnyvale, CA",Sunnyvale,CA,3 days ago,,"$102,000.00/yr - $150,000.00/yr",Entry level,Full-time,"Art/Creative, Design, and Engineering","Information Services and Technology, Information and Internet",102000,150000
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University School of Medicine,"Stanford, CA",Stanford,CA,1 week ago,57 applicants,"$82,468.00/yr - $106,256.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,82468,106256
"Quantitative Marketing Analyst, Google, Search Marketing",Google,"Mountain View, CA",Mountain View,CA,1 week ago,,"$87,000.00/yr - $128,000.00/yr",Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet",87000,128000
Research Analyst II,"JobTrain, Inc.","Menlo Park, CA",Menlo Park,CA,1 month ago,,"$76,901.86/yr - $82,400.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing,76901,82400
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,"Stanford, CA",Stanford,CA,1 week ago,85 applicants,"$82,468.00/yr - $106,256.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,82468,106256
"Quantitative UX Researcher, YouTube Ads",Google,"Mountain View, CA",Mountain View,CA,4 days ago,34 applicants,"$122,000.00/yr - $178,000.00/yr",Not Applicable,Full-time,"Art/Creative, Design, and Engineering","Information Services and Technology, Information and Internet",122000,178000
"Quantitative Marketing Analyst, Google, Search Marketing",Google,"Mountain View, CA",Mountain View,CA,1 week ago,,"$87,000.00/yr - $128,000.00/yr",Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet",87000,128000
Research Data Analyst 1,Stanford University School of Medicine,"Stanford, CA",Stanford,CA,4 months ago,,"$64,480.00/yr - $97,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,64480,97000
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,"Stanford, CA",Stanford,CA,1 week ago,85 applicants,"$110,000.00/yr - $135,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,110000,135000
Financial Quantitative Analyst,Augment Jobs,"Los Angeles, CA",Los Angeles,CA,3 months ago,57 applicants,"$60,000.00/yr - $80,000.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",Financial Services,60000,80000
Financial Quantitative Analyst,Augment Jobs,"Los Angeles, CA",Los Angeles,CA,3 months ago,38 applicants,"$60,000.00/yr - $80,000.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",Financial Services,60000,80000
Research Analyst,Cypris,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,48 applicants,"$70,000.00/yr - $113,000.00/yr",Mid-Senior level,Full-time,Research,Non-profit Organizations and Primary and Secondary Education,70000,113000
Research Analyst,UCLA Health,"Los Angeles, CA",Los Angeles,CA,5 days ago,,"$102,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care,102000,150000
Research Analyst,"University of California, San Francisco",San Francisco Bay Area,San Francisco Bay Area,CA,3 weeks ago,53 applicants,"$61,200.00/yr - $77,700.00/yr",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Higher Education,61200,77700
"Business Analyst, Data Center Planning Delivery (AMER)",Amazon Web Services (AWS),"Seattle, WA",Seattle,WA,1 week ago,43 applicants,"$66,900.00/yr - $143,100.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",IT Services and IT Consulting,66900,143100
Research Analyst,Cypris,"New York, NY",New York,NY,2 weeks ago,,"$70,000.00/yr - $113,000.00/yr",Mid-Senior level,Full-time,Research,Non-profit Organizations and Primary and Secondary Education,70000,113000
Quantitative Researcher - Full-Time Campus Hire,Two Sigma,"New York, United States",New York,NY,1 week ago,,"$200,000.00/yr - $220,000.00/yr",Not Applicable,Full-time,Finance and Sales,Financial Services,200000,220000
Quantitative Trading Analyst,AlphaGrep,"Chicago, IL",Chicago,IL,2 months ago,,"$60,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Finance and Sales,Financial Services,60000,130000
Quantitative Researcher - Futures,Sartre Group,"Chicago, IL",Chicago,IL,3 days ago,140 applicants,"$70,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,Research and Finance,Capital Markets and Financial Services,70000,120000
Junior Quantitative Trader,Selby Jennings,"Chicago, IL",Chicago,IL,1 week ago,155 applicants,"$100,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Finance,Professional Services and Financial Services,100000,150000
Research Analyst,Dorsey Asset Management,"Chicago, IL",Chicago,IL,4 months ago,,"$90,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services,90000,130000
RESEARCH ANALYST II,Duke University,"Durham, NC",Durham,NC,1 week ago,,"$70,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,70000,120000
"Research Analyst II, Center for Advanced Hindsight",Duke University,"Durham, NC",Durham,NC,1 month ago,,"$70,000.00/yr - $80,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education,70000,80000
SENIOR RESEARCH ADMINISTRATION BUSINESS PROCESS ANALYST,Duke University,"Durham, NC",Durham,NC,6 months ago,26 applicants,"$70,000.00/yr - $90,000.00/yr",Mid-Senior level,Full-time,Management and Manufacturing,Higher Education,70000,90000
"Research Admin Business Process Analyst, Sr",Duke University,"Durham, NC",Durham,NC,4 months ago,29 applicants,"$60,000.00/yr - $80,000.00/yr",Mid-Senior level,Full-time,Management and Manufacturing,Higher Education,60000,80000
Research Analyst,Augment Jobs,"Austin, TX",Austin,TX,3 months ago,,"$70,000.00/yr - $90,600.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",Venture Capital and Private Equity Principals,70000,90600
Market Research Analyst,Augment Jobs,"Austin, TX",Austin,TX,3 weeks ago,,"$60,000.00/yr - $75,000.00/yr",Associate,Full-time,Marketing and Sales,"Manufacturing, Financial Services, and Business Consulting and Services",60000,75000
Quantitative Associate,"Loomis, Sayles & Company","Boston, MA",Boston,MA,,106 applicants,"$120,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services,120000,150000
Quantitative Analyst (Staff / Sr Staff) - Power Markets,Equilibrium Energy,"Boston, MA",Boston,MA,1 year ago,,"$130,000.00/yr - $160,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",130000,160000
Research Analyst,ICE,"Boston, MA",Boston,MA,1 week ago,145 applicants,"$125,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Financial Services,125000,160000
Data Analytics Engineer,Meta,"Sunnyvale, CA",Sunnyvale,CA,2 weeks ago,,"$124,000.00/yr - $176,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",124000,176000
Senior Data Engineer,Walmart Global Tech,"Sunnyvale, CA",Sunnyvale,CA,2 weeks ago,,"$117,000.00/yr - $234,000.00/yr",Mid-Senior level,Full-time,Information Technology and Engineering,Software Development,117000,234000
Data Analytics Engineer,Meta,"Sunnyvale, CA",Sunnyvale,CA,2 weeks ago,,"$124,000.00/yr - $176,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",124000,176000
Data Analytics Engineer,Natron Energy,"Santa Clara, CA",Santa Clara,CA,3 months ago,,"$106,500.00/yr - $155,500.00/yr",Entry level,Full-time,Information Technology,Manufacturing,106500,155500
Data Engineer,Hayden AI,"San Francisco, CA",San Francisco,CA,3 weeks ago,157 applicants,"$144,000.00/yr - $171,000.00/yr",Entry level,Full-time,Information Technology,Software Development,144000,171000
"Data Engineer, Product",Notion,"San Francisco, CA",San Francisco,CA,3 days ago,139 applicants,"$170,000.00/yr - $235,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Software Development,170000,235000
Data Engineer,Hayden AI,"San Francisco, CA",San Francisco,CA,3 weeks ago,157 applicants,"$144,000.00/yr - $171,000.00/yr",Entry level,Full-time,Information Technology,Software Development,144000,171000
Staff Data Engineer - Data Science,LinkedIn,"Sunnyvale, CA",Sunnyvale,CA,4 days ago,,"$147,000.00/yr - $240,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting",147000,240000
"Data Engineer, Analytics",Meta,"Menlo Park, CA",Menlo Park,CA,2 days ago,,"$46,000.63/yr - $134,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",46000,134000
Analytics Engineer (L4) - Finance,Netflix,"Los Gatos, CA",Los Gatos,CA,2 weeks ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers,170000,720000
Data Engineer,Hayden AI,"San Francisco, CA",San Francisco,CA,3 weeks ago,157 applicants,"$144,000.00/yr - $171,000.00/yr",Entry level,Full-time,Information Technology,Software Development,144000,171000
Data Engineer,Brex,"San Francisco, CA",San Francisco,CA,4 days ago,,"$120,800.00/yr - $151,000.00/yr",Entry level,Full-time,Information Technology,Financial Services,120800,151000
"Data Engineer, Analytics",Meta,"Menlo Park, CA",Menlo Park,CA,2 days ago,,"$46,000.63/yr - $134,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",46000,134000
Data Analytics Engineer,Meta,"Sunnyvale, CA",Sunnyvale,CA,2 weeks ago,,"$124,000.00/yr - $176,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",124000,176000
Data Analytics Engineer,Natron Energy,"Santa Clara, CA",Santa Clara,CA,3 months ago,,"$106,500.00/yr - $155,500.00/yr",Entry level,Full-time,Information Technology,Manufacturing,106500,155500
Data Engineer (L5) - Games,Netflix,"Los Gatos, CA",Los Gatos,CA,1 week ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers,170000,720000
"Data Engineer, Analytics",Meta,"Menlo Park, CA",Menlo Park,CA,2 days ago,,"$46,000.63/yr - $134,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",46000,134000
Staff Data Engineer - Data Science,LinkedIn,"Sunnyvale, CA",Sunnyvale,CA,4 days ago,,"$147,000.00/yr - $240,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting",147000,240000
Data/BI Engineer,Xenon arc,"Bellevue, WA",Bellevue,WA,1 week ago,,"$85,000.00/yr - $100,000.00/yr",Associate,Full-time,Information Technology and Research,Chemical Manufacturing,85000,100000
Data Engineer,Amazon,"Seattle, WA",Seattle,WA,2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,118900,205600
Data Engineer,Wipro,"Redmond, WA",Redmond,WA,1 week ago,,"$85,000.00/yr - $100,000.00/yr",Mid-Senior level,Full-time,Engineering,IT Services and IT Consulting,85000,100000
Data Engineer,Amazon,"Bellevue, WA",Bellevue,WA,2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,118900,205600
Data Engineer,Amazon,"Bellevue, WA",Bellevue,WA,2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,118900,205600
Data Engineer for Data Platform,"HireIO, Inc.","Seattle, WA",Seattle,WA,6 months ago,,"$115,000.00/yr - $150,000.00/yr",Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education,115000,150000
"Data Engineer, Analytics",Meta,"Redmond, WA",Redmond,WA,1 day ago,,"$46,000.63/yr - $134,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",46000,134000
Data Engineer,Amazon,"Seattle, WA",Seattle,WA,2 weeks ago,176 applicants,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,118900,205600
Data Engineer,Microsoft,"Redmond, WA",Redmond,WA,1 week ago,,"$98,300.00/yr - $208,800.00/yr",Not Applicable,Full-time,Information Technology,Software Development,98300,208800
"Data Engineer, Amazon Smart Vehicles",Amazon,"Seattle, WA",Seattle,WA,1 week ago,189 applicants,"$91,200.00/yr - $185,000.00/yr",Not Applicable,Full-time,"Quality Assurance, Information Technology, and Engineering",Software Development,91200,185000
Data Engineer II,Chewy,"Bellevue, WA",Bellevue,WA,1 day ago,,"$115,500.00/yr - $183,500.00/yr",Entry level,Full-time,Information Technology,Retail,115500,183500
Data Engineer,SynergisticIT,"Redmond, WA",Redmond,WA,3 months ago,38 applicants,"$98,300.00/yr - $208,800.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,98300,208800
Data Engineer,Fig - Food Is Good,"Seattle, WA",Seattle,WA,6 months ago,185 applicants,"$115,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Wellness and Fitness Services,115000,150000
Data Engineer (L5) - Product (Device),Netflix,"San Francisco, United States",San Francisco,CA,1 week ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers,170000,720000
Data Visualization Engineer (L4) - Content & Studio,Netflix,"San Francisco, United States",San Francisco,CA,2 weeks ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers,170000,720000
Data Engineer (L5) - Product,Netflix,"Seattle, United States",Seattle,WA,3 days ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers,170000,720000
Data Engineer (Entry Level),Ericsson,"Plano, TX",Plano,TX,2 weeks ago,,"$90,000.00/yr - $180,000.00/yr",Not Applicable,Full-time,Other,Telecommunications,90000,180000
Entry Data Engineer,VideoAmp,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,,"$90,000.00/yr - $115,000.00/yr",Entry level,Full-time,Information Technology,Advertising Services,90000,115000
Data Engineer,Walgreens,"Deerfield, IL",Deerfield,IL,1 week ago,,"$80,000.00/yr - $120,500.00/yr",Not Applicable,Full-time,Information Technology,Retail Pharmacies,80000,120500
Data Engineer,Brex,"San Francisco, CA",San Francisco,CA,4 days ago,,"$120,800.00/yr - $151,000.00/yr",Entry level,Full-time,Information Technology,Financial Services,120800,151000
"Data Engineer, Finance",Notion,"New York, NY",New York,NY,2 days ago,,"$170,000.00/yr - $235,000.00/yr",Not Applicable,Full-time,Information Technology,Software Development,170000,235000
Data Engineer I/II,Atomica,"Goleta, CA",Goleta,CA,3 weeks ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,Semiconductor Manufacturing,130000,160000
Entry Data Engineer,VideoAmp,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,Advertising Services,80000,110000
Data Engineer,Brex,"San Francisco, CA",San Francisco,CA,4 days ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,Financial Services,130000,160000
"Data Engineer - Cloud, Sql",Acunor,"Chicago, IL",Chicago,IL,4 days ago,108 applicants,"$90,000.00/yr - $120,500.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,90000,120500
Junior Data Analyst/Engineer,SynergisticIT,"Chicago, IL",Chicago,IL,2 weeks ago,47 applicants,"$70,000.00/yr - $120,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering,70000,120000
Data Engineer,LiveMarket,"Chicago, IL",Chicago,IL,3 months ago,,"$90,000.00/yr - $130,500.00/yr",Entry level,Contract,Information Technology,Software Development,90000,130500
"Data Engineer, Global Sales Activation, Go-To-Market",Google,"Chicago, IL",Chicago,IL,2 weeks ago,50 applicants,"$118,000.00/yr - $174,000.00/yr",Not Applicable,Full-time,"Project Management, Consulting, and Engineering","Information Services and Technology, Information and Internet",118000,174000
Data Engineer,Green Thumb Industries (GTI),"Chicago, IL",Chicago,IL,4 days ago,,"$70,000.00/yr - $120,500.00/yr",Entry level,Full-time,Information Technology,Alternative Medicine,70000,120500
Data Engineer,PepsiCo,"Chicago, IL",Chicago,IL,1 week ago,,"$100,000.00/yr - $167,500.00/yr",Mid-Senior level,Full-time,Information Technology,Manufacturing and Food and Beverage Services,100000,167500
"Data Engineer I, Professional Services, Google Cloud",Google,"Chicago, IL",Chicago,IL,2 weeks ago,,"$118,000.00/yr - $174,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",118000,174000
Python Developer / Data Engineer,TransMarket Group,"Chicago, IL",Chicago,IL,4 months ago,,"$100,000.00/yr - $150,500.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",100000,150500
Data Engineer,"Donato Technologies, Inc.","Chicago, IL",Chicago,IL,3 months ago,,"$85,000.00/yr - $130,500.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,85000,130500
Data Engineer,CGS Federal (Contact Government Services),"Chicago, IL",Chicago,IL,2 months ago,,"$112,597.33/yr - $152,810.66/yr",Not Applicable,Full-time,Information Technology,Government Relations Services,112597,152810
Data Engineer - Chicago,Yeah! Global,"Chicago, IL",Chicago,IL,1 week ago,41 applicants,"$70,000.00/yr - $120,500.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,70000,120500
Data Engineer,Coinbase,"Portland, OR",Portland,OR,2 weeks ago,87 applicants,"$147,900.00/yr - $174,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet",147900,174000
Data Engineer,Ledgent Technology,"Portland, OR",Portland,OR,2 weeks ago,,"$110,000.00/yr - $125,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet",110000,125000
Data Engineer (L5) - Games,Netflix,"Los Gatos, CA",Los Gatos,CA,1 week ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers,170000,720000
Data Engineer,Brex,"New York, NY",New York,NY,4 days ago,,"$120,800.00/yr - $151,000.00/yr",Entry level,Full-time,Information Technology,Financial Services,120800,151000
Data Engineer,Steneral Consulting,"Raleigh, NC",Raleigh,NC,6 days ago,,"$85,000.00/yr - $150,204.96/yr",Mid-Senior level,Contract,Information Technology,Software Development,85000,150204
"Data Engineer I, Professional Services, Google Cloud",Google,"Austin, TX",Austin,TX,2 weeks ago,,"$120,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",120900,205600
Data Engineers,Accroid Inc,"Austin, TX",Austin,TX,3 months ago,135 applicants,"$110,900.00/yr - $145,600.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,110900,145600
Data/Analytics Engineer,Vectra AI,"Austin, TX",Austin,TX,1 week ago,,"$130,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",130000,150000
Data Engineer,Cloudflare,"Austin, TX",Austin,TX,6 days ago,,"$100,000.00/yr - $150,000.00/yr",Associate,Full-time,Information Technology,"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security",100000,150000
Data Engineer,Nomi Health,"Austin, TX",Austin,TX,2 months ago,,"$110,900.00/yr - $145,600.00/yr",Not Applicable,Full-time,Information Technology,Hospitals and Health Care,110900,145600
Data Engineer,Augment Jobs,"Austin, TX",Austin,TX,2 months ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,Financial Services and Venture Capital and Private Equity Principals,130000,160000
Data Engineer,Amazon,"Austin, TX",Austin,TX,2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,118900,205600
Python Data Engineer + GCP,Zortech Solutions,"Austin, TX",Austin,TX,1 month ago,,"$130,000.00/yr - $150,000.00/yr",Entry level,Full-time,Information Technology,Human Resources Services,130000,150000
Data Engineer,Palisades Group,"Austin, TX",Austin,TX,2 weeks ago,,"$110,000.00/yr - $150,000.00/yr",Not Applicable,Full-time,Information Technology,Investment Management,110000,150000
Data Engineer,Accroid Inc,"Austin, TX",Austin,TX,2 months ago,,"$120,900.00/yr - $145,600.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,120900,145600
Software Engineer - New College Graduate,Vectra AI,"Austin, TX",Austin,TX,1 month ago,,"$130,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",130000,150000
Data Engineer,Millennium Health,"San Diego, CA",San Diego,CA,1 month ago,111 applicants,"$90,000.00/yr - $105,000.00/yr",Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education,90000,105000
Data Engineer,McCarthy & Holthus LLP,"San Diego, CA",San Diego,CA,1 month ago,69 applicants,"$130,000.00/yr - $160,000.00/yr",Associate,Full-time,Strategy/Planning and Information Technology,Law Practice,130000,160000
"Data Engineer, ETL, Senior",Zapata Technology,"San Diego, CA",San Diego,CA,2 months ago,34 applicants,"$125,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Information Technology,Software Development,125000,150000
Data Engineer,"XiFin, Inc.",San Diego Metropolitan Area,San Diego Metropolitan Area,CA,2 weeks ago,,"$67,000.00/yr - $75,000.00/yr",Entry level,Full-time,Information Technology,Business Intelligence Platforms and Internet Publishing,67000,75000
"Business Intelligence Engineer, Amazon",Amazon Business,"Palo Alto, CA",Palo Alto,CA,5 days ago,177 applicants,"$89,600.00/yr - $185,000.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Retail,89600,185000
Applied Machine Learning Engineer - Causal Inference Recommendation,DoorDash,"Sunnyvale, CA",Sunnyvale,CA,1 day ago,99 applicants,"$95,000.00/yr - $135,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development,95000,135000
Machine Learning Engineer,Atlassian,"Mountain View, CA",Mountain View,CA,5 days ago,185 applicants,"$156,000.00/yr - $231,100.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,156000,231100
Staff Software Engineer - Data Applications,LinkedIn,"Sunnyvale, CA",Sunnyvale,CA,4 days ago,107 applicants,"$147,000.00/yr - $240,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting",147000,240000
Machine Learning Engineer - Delivery Excellence,DoorDash,"Sunnyvale, CA",Sunnyvale,CA,1 day ago,116 applicants,"$95,000.00/yr - $135,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development,95000,135000
Senior Data Engineer,Discord,"San Francisco, CA",San Francisco,CA,2 days ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Information Technology,Software Development,183000,201500
Data Analytics Engineer,KYYBA Inc,"San Francisco, CA",San Francisco,CA,1 month ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting,183000,201500
Data Engineer,Replicate,"San Francisco, CA",San Francisco,CA,1 week ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Engineering,"Technology, Information and Media",183000,201500
"Data Engineer, Marketing & Sales",Notion,"San Francisco, CA",San Francisco,CA,2 days ago,,"$130,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,Information Technology,Software Development,130000,160000
Data Analyst/Engineer - Junior,SynergisticIT,"San Francisco, CA",San Francisco,CA,1 week ago,28 applicants,"$160,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering,160000,180000
Data Engineer,Arc,"San Francisco, CA",San Francisco,CA,1 year ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Financial Services,130000,160000
Junior/Entry Data Engineer (Remote),SynergisticIT,"San Francisco, CA",San Francisco,CA,2 weeks ago,,"$65,000.00/yr - $85,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,65000,85000
"Data Engineer, Finance",Notion,"San Francisco, CA",San Francisco,CA,1 day ago,,"$170,000.00/yr - $235,000.00/yr",Not Applicable,Full-time,Information Technology,Software Development,170000,235000
Data Engineer,Hayden AI,"San Francisco, CA",San Francisco,CA,3 weeks ago,157 applicants,"$144,000.00/yr - $171,000.00/yr",Entry level,Full-time,Information Technology,Software Development,144000,171000
Data Engineer,Brex,"San Francisco, CA",San Francisco,CA,4 days ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,Financial Services,130000,160000
Data Analytics Engineer,Procter & Gamble,"Boston, MA",Boston,MA,1 week ago,,"$85,000.00/yr - $115,000.00/yr",Not Applicable,Full-time,"Production, Manufacturing, and Engineering",Manufacturing,85000,115000
Data Engineer,Bristol Myers Squibb,"Boston, MA",Boston,MA,3 days ago,160 applicants,"$80,000.00/yr - $165,000.00/yr",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,80000,165000
"Data Engineer - Hybrid - (Python, SQL, R programming)",Manulife,"Boston, MA",Boston,MA,2 weeks ago,,"$85,750.00/yr - $159,250.00/yr",Entry level,Full-time,Information Technology,Insurance,85750,159250
Data Engineer,Amazon,"Boston, MA",Boston,MA,2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development,118900,205600
Data Engineer,Coinbase,"Boston, MA",Boston,MA,2 weeks ago,150 applicants,"$80,000.00/yr - $165,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet",80000,165000
Data Science Engineer,Massachusetts Institute of Technology,"Cambridge, MA",Cambridge,MA,3 days ago,71 applicants,"$70,000.00/yr - $125,000.00/yr",Entry level,Full-time,Information Technology,Higher Education,70000,125000
Data Engineer,Syntricate Technologies,"Quincy, MA",Quincy,MA,3 weeks ago,135 applicants,"$77,000.00/yr - $115,000.00/yr",Entry level,Full-time,Information Technology,Civil Engineering,77000,115000
Data Engineer,PA Consulting,"Boston, MA",Boston,MA,2 days ago,,"$90,000.00/yr - $125,000.00/yr",Mid-Senior level,Full-time,Consulting,Business Consulting and Services,90000,125000
Data Engineer,Lazarus,"Boston, MA",Boston,MA,1 month ago,,"$79,000.08/yr - $145,204.96/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet",79000,145204
Data Engineer,Network Coverage,"Danvers, MA",Danvers,MA,2 months ago,52 applicants,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,80000,120000
Data Engineer,Commonwealth of Massachusetts,"Boston, MA",Boston,MA,1 month ago,,"$77,222.08/yr - $115,204.96/yr",Entry level,Full-time,Information Technology,Government Administration,77222,115204
"Data Engineer - Hybrid - (Python, SQL, R programming)",Manulife,"Boston, MA",Boston,MA,2 weeks ago,,"$81,000.08/yr - $155,204.96/yr",Entry level,Full-time,Information Technology,Insurance,81000,155204
Data Engineer,Lazarus,"Boston, MA",Boston,MA,1 month ago,,"$100,000.00/yr - $130,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet",100000,130000
Data / BI Engineer,Steneral Consulting,"Boston, MA",Boston,MA,2 months ago,,"$79,000.08/yr - $145,204.96/yr",Mid-Senior level,Contract,Business Development and Sales,Software Development,79000,145204
